strategy_id,strategy,system_domain,legitimacy,capacity,flexibility,coordination,learning,accountability,equity_protection,implementation_burden,critical_function,resilience_value,threshold_risk,scenario,rank
IR003,Decentralized Adaptive Governance Model,adaptive governance and local discretion,7.9,7.4,8.9,7.8,8.6,7.6,8,3.4,allows local adaptation experimentation scenario learning and frontline discretion with oversight,8.061,0.5999999999999996,Learning-first,2
IR005,Equity and Access Accountability Review,equity accountability and administrative justice,8.3,7.5,7.8,7.6,7.9,8.9,9.1,3,reduces administrative burden audits access and enforcement equity strengthens rights protection and participation,7.994000000000001,0.5,Learning-first,3
IR001,Crisis Coordination Reform,coordination and emergency governance,7.8,8.3,7.6,8.8,7.9,7.7,7.6,3.2,clarifies authority improves interagency coordination reduces duplication and strengthens crisis decision pathways,7.827,0.40000000000000036,Learning-first,4
IR004,Administrative Capacity and Training Program,administrative capacity and implementation,7.2,8.8,7.3,7.5,8.1,7.4,7.3,3.1,builds staffing expertise procurement data systems field operations and implementation competence,7.671,0.7999999999999998,Learning-first,5
IR002,Public Trust and Transparency Initiative,legitimacy and public communication,8.9,7.1,7,7.2,7.4,8.5,8.2,2.8,improves transparency public communication uncertainty explanation complaint response and institutional trust,7.5710000000000015,0.9000000000000004,Learning-first,6
IR005,Equity and Access Accountability Review,equity accountability and administrative justice,8.3,7.5,7.8,7.6,7.9,8.9,9.1,3,reduces administrative burden audits access and enforcement equity strengthens rights protection and participation,8.106,0.5,Legitimacy-first,1
IR006,Institutional Learning and After-Action Implementation System,learning memory and institutional reform,7.8,8,8.2,8.4,9,8.4,8.1,3.3,converts crisis lessons audits near misses and public feedback into funded rule and practice changes,8.024000000000001,0.20000000000000018,Legitimacy-first,2
IR002,Public Trust and Transparency Initiative,legitimacy and public communication,8.9,7.1,7,7.2,7.4,8.5,8.2,2.8,improves transparency public communication uncertainty explanation complaint response and institutional trust,7.9910000000000005,0.9000000000000004,Legitimacy-first,3
IR003,Decentralized Adaptive Governance Model,adaptive governance and local discretion,7.9,7.4,8.9,7.8,8.6,7.6,8,3.4,allows local adaptation experimentation scenario learning and frontline discretion with oversight,7.865000000000001,0.5999999999999996,Legitimacy-first,4
IR001,Crisis Coordination Reform,coordination and emergency governance,7.8,8.3,7.6,8.8,7.9,7.7,7.6,3.2,clarifies authority improves interagency coordination reduces duplication and strengthens crisis decision pathways,7.7989999999999995,0.40000000000000036,Legitimacy-first,5
IR004,Administrative Capacity and Training Program,administrative capacity and implementation,7.2,8.8,7.3,7.5,8.1,7.4,7.3,3.1,builds staffing expertise procurement data systems field operations and implementation competence,7.4190000000000005,0.7999999999999998,Legitimacy-first,6
