strategy_id,strategy,system_domain,exposure_reduction,vulnerability_reduction,adaptive_capacity,recovery_capacity,transformative_capacity,justice_protection,maladaptation_risk,critical_function,resilience_value,scenario,rank
CR001,Heat-Resilient Urban Redesign,urban resilience,8.2,7.9,8,7.8,8.1,8,3.5,reduces heat exposure through shade cooling housing transit labor and public-health protections,7.1259999999999994,Exposure-first,5
CR006,Distributed Energy and Critical Service Microgrids,energy and infrastructure,7.9,7.8,8,8.7,7.8,7.6,3.8,supports power continuity for hospitals water communications cooling and emergency services,7.02,Exposure-first,6
CR005,Community-Led Floodplain Adaptation,community resilience,8.3,8.5,8.2,7.9,8.4,8.8,2.8,reduces flood risk through restoration housing repair local knowledge and anti-displacement safeguards,7.571000000000001,Justice-first,1
CR004,Integrated Climate Risk Governance Framework,governance,7.8,8.1,8.7,8.2,8.6,8.1,3.2,coordinates cross-sector planning thresholds finance monitoring and accountability,7.3039999999999985,Justice-first,2
CR003,Climate-Resilient Water and Food Security Plan,food-water systems,8.1,8.4,8.5,8,8.3,8.2,3.6,strengthens water allocation soil health crop diversity storage and food access,7.295,Justice-first,3
CR002,Coastal Ecosystem-Based Adaptation Program,coastal social-ecological systems,8.5,8.3,7.9,7.6,8.4,7.8,3,protects coastlines through wetlands mangroves marshes sediment and community stewardship,7.122,Justice-first,4
CR001,Heat-Resilient Urban Redesign,urban resilience,8.2,7.9,8,7.8,8.1,8,3.5,reduces heat exposure through shade cooling housing transit labor and public-health protections,7.077,Justice-first,5
CR006,Distributed Energy and Critical Service Microgrids,energy and infrastructure,7.9,7.8,8,8.7,7.8,7.6,3.8,supports power continuity for hospitals water communications cooling and emergency services,6.932999999999999,Justice-first,6
CR005,Community-Led Floodplain Adaptation,community resilience,8.3,8.5,8.2,7.9,8.4,8.8,2.8,reduces flood risk through restoration housing repair local knowledge and anti-displacement safeguards,5.4510000000000005,Maladaptation-sensitive,1
CR004,Integrated Climate Risk Governance Framework,governance,7.8,8.1,8.7,8.2,8.6,8.1,3.2,coordinates cross-sector planning thresholds finance monitoring and accountability,5.276000000000001,Maladaptation-sensitive,2
CR002,Coastal Ecosystem-Based Adaptation Program,coastal social-ecological systems,8.5,8.3,7.9,7.6,8.4,7.8,3,protects coastlines through wetlands mangroves marshes sediment and community stewardship,5.202,Maladaptation-sensitive,3
CR003,Climate-Resilient Water and Food Security Plan,food-water systems,8.1,8.4,8.5,8,8.3,8.2,3.6,strengthens water allocation soil health crop diversity storage and food access,5.173,Maladaptation-sensitive,4
CR001,Heat-Resilient Urban Redesign,urban resilience,8.2,7.9,8,7.8,8.1,8,3.5,reduces heat exposure through shade cooling housing transit labor and public-health protections,5.0089999999999995,Maladaptation-sensitive,5
CR006,Distributed Energy and Critical Service Microgrids,energy and infrastructure,7.9,7.8,8,8.7,7.8,7.6,3.8,supports power continuity for hospitals water communications cooling and emergency services,4.905999999999999,Maladaptation-sensitive,6
CR005,Community-Led Floodplain Adaptation,community resilience,8.3,8.5,8.2,7.9,8.4,8.8,2.8,reduces flood risk through restoration housing repair local knowledge and anti-displacement safeguards,7.339999999999999,Recovery-first,1
CR004,Integrated Climate Risk Governance Framework,governance,7.8,8.1,8.7,8.2,8.6,8.1,3.2,coordinates cross-sector planning thresholds finance monitoring and accountability,7.318,Recovery-first,2
CR003,Climate-Resilient Water and Food Security Plan,food-water systems,8.1,8.4,8.5,8,8.3,8.2,3.6,strengthens water allocation soil health crop diversity storage and food access,7.242,Recovery-first,3
CR006,Distributed Energy and Critical Service Microgrids,energy and infrastructure,7.9,7.8,8,8.7,7.8,7.6,3.8,supports power continuity for hospitals water communications cooling and emergency services,7.211999999999999,Recovery-first,4
CR002,Coastal Ecosystem-Based Adaptation Program,coastal social-ecological systems,8.5,8.3,7.9,7.6,8.4,7.8,3,protects coastlines through wetlands mangroves marshes sediment and community stewardship,7.079999999999999,Recovery-first,5
CR001,Heat-Resilient Urban Redesign,urban resilience,8.2,7.9,8,7.8,8.1,8,3.5,reduces heat exposure through shade cooling housing transit labor and public-health protections,7.029999999999999,Recovery-first,6
CR005,Community-Led Floodplain Adaptation,community resilience,8.3,8.5,8.2,7.9,8.4,8.8,2.8,reduces flood risk through restoration housing repair local knowledge and anti-displacement safeguards,7.478000000000001,Transformation-first,1
CR004,Integrated Climate Risk Governance Framework,governance,7.8,8.1,8.7,8.2,8.6,8.1,3.2,coordinates cross-sector planning thresholds finance monitoring and accountability,7.411999999999999,Transformation-first,2
CR003,Climate-Resilient Water and Food Security Plan,food-water systems,8.1,8.4,8.5,8,8.3,8.2,3.6,strengthens water allocation soil health crop diversity storage and food access,7.318,Transformation-first,3
CR002,Coastal Ecosystem-Based Adaptation Program,coastal social-ecological systems,8.5,8.3,7.9,7.6,8.4,7.8,3,protects coastlines through wetlands mangroves marshes sediment and community stewardship,7.276,Transformation-first,4
CR001,Heat-Resilient Urban Redesign,urban resilience,8.2,7.9,8,7.8,8.1,8,3.5,reduces heat exposure through shade cooling housing transit labor and public-health protections,7.106,Transformation-first,5
CR006,Distributed Energy and Critical Service Microgrids,energy and infrastructure,7.9,7.8,8,8.7,7.8,7.6,3.8,supports power continuity for hospitals water communications cooling and emergency services,6.973999999999999,Transformation-first,6
CR005,Community-Led Floodplain Adaptation,community resilience,8.3,8.5,8.2,7.9,8.4,8.8,2.8,reduces flood risk through restoration housing repair local knowledge and anti-displacement safeguards,7.483999999999999,Vulnerability-first,1
CR003,Climate-Resilient Water and Food Security Plan,food-water systems,8.1,8.4,8.5,8,8.3,8.2,3.6,strengthens water allocation soil health crop diversity storage and food access,7.338,Vulnerability-first,2
CR004,Integrated Climate Risk Governance Framework,governance,7.8,8.1,8.7,8.2,8.6,8.1,3.2,coordinates cross-sector planning thresholds finance monitoring and accountability,7.2940000000000005,Vulnerability-first,3
CR002,Coastal Ecosystem-Based Adaptation Program,coastal social-ecological systems,8.5,8.3,7.9,7.6,8.4,7.8,3,protects coastlines through wetlands mangroves marshes sediment and community stewardship,7.247999999999999,Vulnerability-first,4
CR001,Heat-Resilient Urban Redesign,urban resilience,8.2,7.9,8,7.8,8.1,8,3.5,reduces heat exposure through shade cooling housing transit labor and public-health protections,7.054,Vulnerability-first,5
CR006,Distributed Energy and Critical Service Microgrids,energy and infrastructure,7.9,7.8,8,8.7,7.8,7.6,3.8,supports power continuity for hospitals water communications cooling and emergency services,6.995999999999999,Vulnerability-first,6
