scenario,strategy_id,strategy,system_domain,rank,local_resilience_value,inequality_risk,implementation_burden,critical_function
Liquidity-first,LE006,Workforce Childcare and Local Skills Resilience,workforce capacity care infrastructure and local skills,6,7.552,2.8,3.6,protects local labor capacity through childcare transit training job quality scheduling stability and worker-centered resilience
Workforce-first,LE006,Workforce Childcare and Local Skills Resilience,workforce capacity care infrastructure and local skills,1,8.072,2.8,3.6,protects local labor capacity through childcare transit training job quality scheduling stability and worker-centered resilience
Workforce-first,LE003,Local Procurement and Anchor Institution Access,anchor procurement local purchasing and contract access,2,7.832,3.0,3.6,connects small firms to stable demand from public agencies hospitals universities schools utilities and large employers
Workforce-first,LE002,Community Development Finance and Patient Capital,CDFI community banking credit unions and patient capital,3,7.728,2.7,3.5,expands fair relationship-based capital for firms excluded by conventional lending and weak collateral systems
Workforce-first,LE005,Commercial Anti-Displacement and Ownership Strategy,local ownership commercial stabilization and anti-displacement,4,7.725,2.9,3.7,protects long-standing firms from rent shocks speculative redevelopment property loss and displacement after recovery investment
Workforce-first,LE004,Small Business Continuity and Digital Resilience Support,business continuity cyber readiness and digital operations,5,7.604,3.1,3.2,helps firms maintain records payments communications online visibility cybersecurity and alternate operating modes during disruption
Workforce-first,LE001,Emergency Microgrant and Liquidity Fund,rapid liquidity emergency grants and cash runway protection,6,7.533,2.8,3.0,provides fast low-burden support before temporary disruption becomes permanent closure or predatory borrowing
Procurement-first,LE003,Local Procurement and Anchor Institution Access,anchor procurement local purchasing and contract access,1,8.522,3.0,3.6,connects small firms to stable demand from public agencies hospitals universities schools utilities and large employers
Procurement-first,LE002,Community Development Finance and Patient Capital,CDFI community banking credit unions and patient capital,2,8.34,2.7,3.5,expands fair relationship-based capital for firms excluded by conventional lending and weak collateral systems
Procurement-first,LE005,Commercial Anti-Displacement and Ownership Strategy,local ownership commercial stabilization and anti-displacement,3,8.314,2.9,3.7,protects long-standing firms from rent shocks speculative redevelopment property loss and displacement after recovery investment
Procurement-first,LE006,Workforce Childcare and Local Skills Resilience,workforce capacity care infrastructure and local skills,4,8.158,2.8,3.6,protects local labor capacity through childcare transit training job quality scheduling stability and worker-centered resilience
Procurement-first,LE004,Small Business Continuity and Digital Resilience Support,business continuity cyber readiness and digital operations,5,8.063,3.1,3.2,helps firms maintain records payments communications online visibility cybersecurity and alternate operating modes during disruption
Procurement-first,LE001,Emergency Microgrant and Liquidity Fund,rapid liquidity emergency grants and cash runway protection,6,7.982,2.8,3.0,provides fast low-burden support before temporary disruption becomes permanent closure or predatory borrowing
Digital-first,LE004,Small Business Continuity and Digital Resilience Support,business continuity cyber readiness and digital operations,1,7.991,3.1,3.2,helps firms maintain records payments communications online visibility cybersecurity and alternate operating modes during disruption
Digital-first,LE003,Local Procurement and Anchor Institution Access,anchor procurement local purchasing and contract access,2,7.834,3.0,3.6,connects small firms to stable demand from public agencies hospitals universities schools utilities and large employers
Digital-first,LE002,Community Development Finance and Patient Capital,CDFI community banking credit unions and patient capital,3,7.744,2.7,3.5,expands fair relationship-based capital for firms excluded by conventional lending and weak collateral systems
Digital-first,LE006,Workforce Childcare and Local Skills Resilience,workforce capacity care infrastructure and local skills,4,7.624,2.8,3.6,protects local labor capacity through childcare transit training job quality scheduling stability and worker-centered resilience
Digital-first,LE005,Commercial Anti-Displacement and Ownership Strategy,local ownership commercial stabilization and anti-displacement,5,7.582,2.9,3.7,protects long-standing firms from rent shocks speculative redevelopment property loss and displacement after recovery investment
Digital-first,LE001,Emergency Microgrant and Liquidity Fund,rapid liquidity emergency grants and cash runway protection,6,7.556,2.8,3.0,provides fast low-burden support before temporary disruption becomes permanent closure or predatory borrowing
Community-wealth-first,LE003,Local Procurement and Anchor Institution Access,anchor procurement local purchasing and contract access,1,8.512,3.0,3.6,connects small firms to stable demand from public agencies hospitals universities schools utilities and large employers
Community-wealth-first,LE005,Commercial Anti-Displacement and Ownership Strategy,local ownership commercial stabilization and anti-displacement,2,8.485,2.9,3.7,protects long-standing firms from rent shocks speculative redevelopment property loss and displacement after recovery investment
Community-wealth-first,LE002,Community Development Finance and Patient Capital,CDFI community banking credit unions and patient capital,3,8.477,2.7,3.5,expands fair relationship-based capital for firms excluded by conventional lending and weak collateral systems
Community-wealth-first,LE006,Workforce Childcare and Local Skills Resilience,workforce capacity care infrastructure and local skills,4,8.204,2.8,3.6,protects local labor capacity through childcare transit training job quality scheduling stability and worker-centered resilience
Community-wealth-first,LE004,Small Business Continuity and Digital Resilience Support,business continuity cyber readiness and digital operations,5,8.004,3.1,3.2,helps firms maintain records payments communications online visibility cybersecurity and alternate operating modes during disruption
Community-wealth-first,LE001,Emergency Microgrant and Liquidity Fund,rapid liquidity emergency grants and cash runway protection,6,8.002,2.8,3.0,provides fast low-burden support before temporary disruption becomes permanent closure or predatory borrowing
Equity-first,LE002,Community Development Finance and Patient Capital,CDFI community banking credit unions and patient capital,1,8.453,2.7,3.5,expands fair relationship-based capital for firms excluded by conventional lending and weak collateral systems
Equity-first,LE003,Local Procurement and Anchor Institution Access,anchor procurement local purchasing and contract access,2,8.348,3.0,3.6,connects small firms to stable demand from public agencies hospitals universities schools utilities and large employers
Equity-first,LE005,Commercial Anti-Displacement and Ownership Strategy,local ownership commercial stabilization and anti-displacement,3,8.347,2.9,3.7,protects long-standing firms from rent shocks speculative redevelopment property loss and displacement after recovery investment
Equity-first,LE006,Workforce Childcare and Local Skills Resilience,workforce capacity care infrastructure and local skills,4,8.278,2.8,3.6,protects local labor capacity through childcare transit training job quality scheduling stability and worker-centered resilience
Equity-first,LE001,Emergency Microgrant and Liquidity Fund,rapid liquidity emergency grants and cash runway protection,5,8.16,2.8,3.0,provides fast low-burden support before temporary disruption becomes permanent closure or predatory borrowing
Equity-first,LE004,Small Business Continuity and Digital Resilience Support,business continuity cyber readiness and digital operations,6,8.038,3.1,3.2,helps firms maintain records payments communications online visibility cybersecurity and alternate operating modes during disruption
Implementation-aware,LE003,Local Procurement and Anchor Institution Access,anchor procurement local purchasing and contract access,1,7.438,3.0,3.6,connects small firms to stable demand from public agencies hospitals universities schools utilities and large employers
Implementation-aware,LE002,Community Development Finance and Patient Capital,CDFI community banking credit unions and patient capital,2,7.43,2.7,3.5,expands fair relationship-based capital for firms excluded by conventional lending and weak collateral systems
Implementation-aware,LE005,Commercial Anti-Displacement and Ownership Strategy,local ownership commercial stabilization and anti-displacement,3,7.304,2.9,3.7,protects long-standing firms from rent shocks speculative redevelopment property loss and displacement after recovery investment
Implementation-aware,LE006,Workforce Childcare and Local Skills Resilience,workforce capacity care infrastructure and local skills,4,7.294,2.8,3.6,protects local labor capacity through childcare transit training job quality scheduling stability and worker-centered resilience
Implementation-aware,LE004,Small Business Continuity and Digital Resilience Support,business continuity cyber readiness and digital operations,5,7.245,3.1,3.2,helps firms maintain records payments communications online visibility cybersecurity and alternate operating modes during disruption
Implementation-aware,LE001,Emergency Microgrant and Liquidity Fund,rapid liquidity emergency grants and cash runway protection,6,7.239,2.8,3.0,provides fast low-burden support before temporary disruption becomes permanent closure or predatory borrowing
